state,year,population
Andaman and Nicobar Islands,1961,64
Andaman and Nicobar Islands,1971,115
Andaman and Nicobar Islands,1981,189
Andaman and Nicobar Islands,1991,281
Andaman and Nicobar Islands,2001,356
Andaman and Nicobar Islands,2011,381
Andhra Pradesh,1961,35983
Andhra Pradesh,1971,43503
Andhra Pradesh,1981,53551
Andhra Pradesh,1991,66508
Andhra Pradesh,2001,76210
Andhra Pradesh,2011,84581
Arunachal Pradesh,1961,337
Arunachal Pradesh,1971,468
Arunachal Pradesh,1981,632
Arunachal Pradesh,1991,865
Arunachal Pradesh,2001,1098
Arunachal Pradesh,2011,1384
Assam,1961,10837
Assam,1971,14625
Assam,1981,18041
Assam,1991,22414
Assam,2001,26656
Assam,2011,31206
Bihar,1961,34841
Bihar,1971,42126
Bihar,1981,52303
Bihar,1991,64531
Bihar,2001,82999
Bihar,2011,104099
Chandigarh,1961,120
Chandigarh,1971,257
Chandigarh,1981,452
Chandigarh,1991,642
Chandigarh,2001,901
Chandigarh,2011,1055
Chhattisgarh,1961,9154
Chhattisgarh,1971,11637
Chhattisgarh,1981,14010
Chhattisgarh,1991,17615
Chhattisgarh,2001,20834
Chhattisgarh,2011,25545
Dadra and Nagar Haveli,1961,58
Dadra and Nagar Haveli,1971,74
Dadra and Nagar Haveli,1981,104
Dadra and Nagar Haveli,1991,138
Dadra and Nagar Haveli,2001,220
Dadra and Nagar Haveli,2011,344
Daman and Diu,1961,37
Daman and Diu,1971,63
Daman and Diu,1981,79
Daman and Diu,1991,102
Daman and Diu,2001,158
Daman and Diu,2011,243
Delhi,1961,2659
Delhi,1971,4066
Delhi,1981,6220
Delhi,1991,9421
Delhi,2001,13851
Delhi,2011,16788
Goa,1961,590
Goa,1971,795
Goa,1981,1008
Goa,1991,1170
Goa,2001,1348
Goa,2011,1459
Gujarat,1961,20633
Gujarat,1971,26697
Gujarat,1981,34086
Gujarat,1991,41310
Gujarat,2001,50671
Gujarat,2011,60440
Haryana,1961,7591
Haryana,1971,10036
Haryana,1981,12922
Haryana,1991,16464
Haryana,2001,21145
Haryana,2011,25351
Himachal Pradesh,1961,2812
Himachal Pradesh,1971,3460
Himachal Pradesh,1981,4281
Himachal Pradesh,1991,5171
Himachal Pradesh,2001,6078
Himachal Pradesh,2011,6865
Jammu and Kashmir,1961,3561
Jammu and Kashmir,1971,4617
Jammu and Kashmir,1981,5987
Jammu and Kashmir,1991,7837
Jammu and Kashmir,2001,10144
Jammu and Kashmir,2011,12541
Jharkhand,1961,11606
Jharkhand,1971,14227
Jharkhand,1981,17612
Jharkhand,1991,21844
Jharkhand,2001,26946
Jharkhand,2011,32988
Karnataka,1961,23587
Karnataka,1971,29299
Karnataka,1981,37136
Karnataka,1991,44977
Karnataka,2001,52851
Karnataka,2011,61095
Kerala,1961,16904
Kerala,1971,21347
Kerala,1981,25454
Kerala,1991,29099
Kerala,2001,31841
Kerala,2011,33406
Lakshadweep,1961,24
Lakshadweep,1971,32
Lakshadweep,1981,40
Lakshadweep,1991,52
Lakshadweep,2001,61
Lakshadweep,2011,64
Madhya Pradesh,1961,23218
Madhya Pradesh,1971,30017
Madhya Pradesh,1981,38169
Madhya Pradesh,1991,48566
Madhya Pradesh,2001,60348
Madhya Pradesh,2011,72627
Maharashtra,1961,39554
Maharashtra,1971,50412
Maharashtra,1981,62783
Maharashtra,1991,78937
Maharashtra,2001,96879
Maharashtra,2011,112374
Manipur,1961,780
Manipur,1971,1073
Manipur,1981,1421
Manipur,1991,1837
Manipur,2001,2294
Manipur,2011,2856
Meghalaya,1961,769
Meghalaya,1971,1012
Meghalaya,1981,1336
Meghalaya,1991,1775
Meghalaya,2001,2319
Meghalaya,2011,2967
Mizoram,1961,266
Mizoram,1971,332
Mizoram,1981,494
Mizoram,1991,690
Mizoram,2001,889
Mizoram,2011,1097
Nagaland,1961,369
Nagaland,1971,516
Nagaland,1981,775
Nagaland,1991,1210
Nagaland,2001,1990
Nagaland,2011,1979
Odisha,1961,17549
Odisha,1971,21945
Odisha,1981,26370
Odisha,1991,31660
Odisha,2001,36805
Odisha,2011,41974
Puducherry,1961,369
Puducherry,1971,472
Puducherry,1981,604
Puducherry,1991,808
Puducherry,2001,974
Puducherry,2011,1248
Punjab,1961,11135
Punjab,1971,13551
Punjab,1981,16789
Punjab,1991,20282
Punjab,2001,24359
Punjab,2011,27743
Rajasthan,1961,20156
Rajasthan,1971,25766
Rajasthan,1981,34262
Rajasthan,1991,44006
Rajasthan,2001,56507
Rajasthan,2011,68548
Sikkim,1961,162
Sikkim,1971,210
Sikkim,1981,316
Sikkim,1991,406
Sikkim,2001,541
Sikkim,2011,611
Tamil Nadu,1961,33687
Tamil Nadu,1971,41199
Tamil Nadu,1981,48408
Tamil Nadu,1991,55859
Tamil Nadu,2001,62406
Tamil Nadu,2011,72147
Tripura,1961,1142
Tripura,1971,1556
Tripura,1981,2053
Tripura,1991,2757
Tripura,2001,3199
Tripura,2011,3674
Uttar Pradesh,1961,70144
Uttar Pradesh,1971,83849
Uttar Pradesh,1981,105137
Uttar Pradesh,1991,132062
Uttar Pradesh,2001,166198
Uttar Pradesh,2011,199812
Uttarakhand,1961,3611
Uttarakhand,1971,4493
Uttarakhand,1981,5726
Uttarakhand,1991,7051
Uttarakhand,2001,8489
Uttarakhand,2011,10086
West Bengal,1961,34926
West Bengal,1971,44312
West Bengal,1981,54581
West Bengal,1991,68078
West Bengal,2001,80176
West Bengal,2011,91276